university,universityLabel,totalStudents,undergradStudents,postgradStudents
http://www.wikidata.org/entity/Q179640,Catholic Private University Linz,438,,
http://www.wikidata.org/entity/Q181177,Университет Кренфилда,4825,,
http://www.wikidata.org/entity/Q182973,Айовский университет,27802,,
http://www.wikidata.org/entity/Q182973,Айовский университет,30318,,
http://www.wikidata.org/entity/Q183170,Техасский университет в Сан-Антонио,34742,,
http://www.wikidata.org/entity/Q188370,Университет Маркетт,10689,,
http://www.wikidata.org/entity/Q188370,Университет Маркетт,12002,,
http://www.wikidata.org/entity/Q189022,Имперский колледж Лондона,17565,,
http://www.wikidata.org/entity/Q189441,Ягеллонский университет,33549,,
http://www.wikidata.org/entity/Q190336,Minzu University of China,15800,,
http://www.wikidata.org/entity/Q193510,Падуанский университет,75000,,
http://www.wikidata.org/entity/Q194445,Каирский университет,207853,,
http://www.wikidata.org/entity/Q195046,Вустерский политехнический институт,6920,,
http://www.wikidata.org/entity/Q195046,Вустерский политехнический институт,6421,,
http://www.wikidata.org/entity/Q197543,Чжэцзянский университет,39000,,
http://www.wikidata.org/entity/Q262617,Фуллеровская теологическая семинария,1257,,
http://www.wikidata.org/entity/Q262854,Ланкастерский университет,12000,,
http://www.wikidata.org/entity/Q498451,Северо-Западный политехнический университет,33,,
http://www.wikidata.org/entity/Q493141,Университет Ботсваны,18176,,
http://www.wikidata.org/entity/Q498401,Университет Ставангера,12000,,
http://www.wikidata.org/entity/Q500131,Университет штата Арканзас,13106,,
http://www.wikidata.org/entity/Q502352,Регентский университет,10483,,
http://www.wikidata.org/entity/Q508048,Кремсский университет повышения квалификации,8849,,
http://www.wikidata.org/entity/Q510029,Бирзейтский университет,13719,,
http://www.wikidata.org/entity/Q521612,Университет искусств Фолькванг,1506,,
http://www.wikidata.org/entity/Q525169,Шанхайский университет транспорта,46443,,
http://www.wikidata.org/entity/Q528231,Голдсмитс,8836,,
http://www.wikidata.org/entity/Q536709,Angelo State University,10775,,
http://www.wikidata.org/entity/Q538452,Университет Бабеша — Бойяи,41136,,
http://www.wikidata.org/entity/Q540231,Reichsuniversität Straßburg,902,,
http://www.wikidata.org/entity/Q540231,Reichsuniversität Straßburg,3824,,
http://www.wikidata.org/entity/Q540672,Обернский университет,25469,,
http://www.wikidata.org/entity/Q540672,Обернский университет,28249,,
http://www.wikidata.org/entity/Q541548,Университет Невшателя,4282,,
http://www.wikidata.org/entity/Q542498,Ave Maria University,600,,
http://www.wikidata.org/entity/Q545540,Аньхойский университет,26690,,
http://www.wikidata.org/entity/Q546976,Университет Суррея,15705,,
http://www.wikidata.org/entity/Q547867,Афинский университет,70461,,
http://www.wikidata.org/entity/Q556098,Университет Пейс (Нью-Йорк),11147,,
http://www.wikidata.org/entity/Q556098,Университет Пейс (Нью-Йорк),12835,,
http://www.wikidata.org/entity/Q558922,Университет штата Иллинойс,20720,,
http://www.wikidata.org/entity/Q572430,Capella University,38930,,
http://www.wikidata.org/entity/Q366071,Зеленогурский Университет,18000,,
http://www.wikidata.org/entity/Q367774,Баптистский университет Оклахомы,1763,,
http://www.wikidata.org/entity/Q371522,Гётеборгский университет,37000,,
http://www.wikidata.org/entity/Q371522,Гётеборгский университет,36003,,
http://www.wikidata.org/entity/Q640652,Университет Оклахомы,27772,,
http://www.wikidata.org/entity/Q642310,Shih Chien University,10280,,
http://www.wikidata.org/entity/Q377757,Университет Родса,8200,,
http://www.wikidata.org/entity/Q390087,Xavier University of Louisiana,4121,,
http://www.wikidata.org/entity/Q391028,Университет Британской Колумбии,71201,,
http://www.wikidata.org/entity/Q392667,Университет Уэйк-Форест,8400,,
http://www.wikidata.org/entity/Q392774,Университет мира,124,,
http://www.wikidata.org/entity/Q392667,Университет Уэйк-Форест,8789,,
http://www.wikidata.org/entity/Q402829,Свято-Владимирская духовная семинария,79,,
http://www.wikidata.org/entity/Q405304,Nayoro City University,778,,
http://www.wikidata.org/entity/Q307065,Абхазский государственный университет,3000,,
http://www.wikidata.org/entity/Q308329,Université Abdou Moumouni,20400,,
http://www.wikidata.org/entity/Q413829,Академия физического воспитания имени Юзефа Пилсудского в Варшаве,5000,,
http://www.wikidata.org/entity/Q414219,Венская академия изобразительных искусств,1494,,
http://www.wikidata.org/entity/Q414219,Венская академия изобразительных искусств,1613,,
http://www.wikidata.org/entity/Q310564,Университет Аль-Кудс,13000,,
http://www.wikidata.org/entity/Q314536,Норвежский университет естественных и технических наук,44000,,
http://www.wikidata.org/entity/Q314536,Норвежский университет естественных и технических наук,42031,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,20158,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,21129,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,21819,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,22978,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,23297,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,24658,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,25549,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,25721,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,26014,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,26054,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,26239,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,28557,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,31557,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,34621,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,36567,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,36874,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,38059,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,39061,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,39701,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,41447,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,42089,,
http://www.wikidata.org/entity/Q315658,Вроцлавский университет,42868,,
http://www.wikidata.org/entity/Q327361,Schiller International University,30,,
http://www.wikidata.org/entity/Q332342,Тринити-колледж Кембриджского университета,1080,,
http://www.wikidata.org/entity/Q333705,Технион,13703,,
http://www.wikidata.org/entity/Q336264,Киотский университет,22365,,
http://www.wikidata.org/entity/Q337382,Университет Акадия,3574,,
http://www.wikidata.org/entity/Q348402,Университет им. А. Мицкевича в Познани,37013,,
http://www.wikidata.org/entity/Q351971,Adams State University,3164,,
http://www.wikidata.org/entity/Q600107,Swiss German University,1368,,
http://www.wikidata.org/entity/Q601956,Университет Ольборга,20353,,
http://www.wikidata.org/entity/Q604444,Преторийский университет,50000,,
http://www.wikidata.org/entity/Q604487,Таллинский технический университет,14151,,
http://www.wikidata.org/entity/Q605825,Воронежский государственный лесотехнический университет имени Г.Ф. Морозова,5000,,
http://www.wikidata.org/entity/Q609301,Сплитский университет,26000,,
http://www.wikidata.org/entity/Q609375,International University of Japan,327,,
http://www.wikidata.org/entity/Q615998,Университет юго-восточной Луизианы,17000,,
http://www.wikidata.org/entity/Q617446,Университет Фоджи,9500,,
http://www.wikidata.org/entity/Q622137,Лихайский университет,6798,,
http://www.wikidata.org/entity/Q622137,Лихайский университет,7067,,
http://www.wikidata.org/entity/Q622683,Грацский университет имени Карла и Франца,32230,,
http://www.wikidata.org/entity/Q623817,Korea National University of Cultural Heritage,850,,
http://www.wikidata.org/entity/Q624564,"California State University, Stanislaus",8475,,
http://www.wikidata.org/entity/Q624564,"California State University, Stanislaus",11163,,
http://www.wikidata.org/entity/Q624560,Государственный университет Гумбольдт,5285,,
http://www.wikidata.org/entity/Q624560,Государственный университет Гумбольдт,6612,,
http://www.wikidata.org/entity/Q624686,"California State University, Monterey Bay",6806,,
http://www.wikidata.org/entity/Q624686,"California State University, Monterey Bay",7409,,
http://www.wikidata.org/entity/Q624691,Университет штата Калифорния в Сан-Маркосе,13918,,
http://www.wikidata.org/entity/Q624691,Университет штата Калифорния в Сан-Маркосе,16367,,
http://www.wikidata.org/entity/Q625158,Каунасский технологический университет,10495,,
http://www.wikidata.org/entity/Q625103,Миссурийский университет в Сент-Луисе,13874,,
http://www.wikidata.org/entity/Q624959,Южный университет Джорджии,26054,,
http://www.wikidata.org/entity/Q626591,Texas Southern University,7015,,
http://www.wikidata.org/entity/Q632004,Университет Радбода,19137,,
http://www.wikidata.org/entity/Q632465,Radford University,7497,,
http://www.wikidata.org/entity/Q632465,Radford University,10695,,
http://www.wikidata.org/entity/Q632506,Norfolk State University,5016,,
http://www.wikidata.org/entity/Q632506,Norfolk State University,5457,,
http://www.wikidata.org/entity/Q632573,Южный университет Юты,12582,,
http://www.wikidata.org/entity/Q633782,Университет Пулы,3000,,
http://www.wikidata.org/entity/Q634396,McNeese State University,7284,,
http://www.wikidata.org/entity/Q634651,Texas A&M University–Corpus Christi,10820,,
http://www.wikidata.org/entity/Q634669,East Tennessee State University,13713,,
http://www.wikidata.org/entity/Q635116,Азербайджанский университет архитектуры и строительства,8500,,
http://www.wikidata.org/entity/Q624571,Sonoma State University,6630,,
http://www.wikidata.org/entity/Q624571,Sonoma State University,8018,,
http://www.wikidata.org/entity/Q620640,Appalachian State University,20023,,
http://www.wikidata.org/entity/Q579611,Хаверфордский колледж,1353,,
http://www.wikidata.org/entity/Q579611,Хаверфордский колледж,1419,,
http://www.wikidata.org/entity/Q591426,Университет штата Канзас в Форт-Хейсе,8245,,
http://www.wikidata.org/entity/Q591426,Университет штата Канзас в Форт-Хейсе,15033,,
http://www.wikidata.org/entity/Q593321,Университет Генуи,36728,,
http://www.wikidata.org/entity/Q684783,Университет Канадзавы,10127,,
http://www.wikidata.org/entity/Q677662,Краковский университет Комиссии национального образования,15000,,
http://www.wikidata.org/entity/Q648838,Университет Андорры,1741,,
http://www.wikidata.org/entity/Q649299,Университет Реджиса,6310,,
http://www.wikidata.org/entity/Q649299,Университет Реджиса,4596,,
http://www.wikidata.org/entity/Q649868,Хунаньский университет,46000,,
http://www.wikidata.org/entity/Q651133,Национальный университет Узбекистана,11000,,
http://www.wikidata.org/entity/Q651233,Осакский университет,23234,,
http://www.wikidata.org/entity/Q656871,Хартумский университет,16800,,
http://www.wikidata.org/entity/Q657222,Технологический институт Стивенса,7257,,
http://www.wikidata.org/entity/Q657222,Технологический институт Стивенса,7313,,
http://www.wikidata.org/entity/Q657374,University of Mary Washington,4180,,
http://www.wikidata.org/entity/Q657374,University of Mary Washington,4293,,
http://www.wikidata.org/entity/Q659255,University of West Florida,13061,,
http://www.wikidata.org/entity/Q659255,University of West Florida,13265,,
http://www.wikidata.org/entity/Q659706,Иллинойсский технологический институт,8565,,
http://www.wikidata.org/entity/Q662131,Hohai University,33000,,
http://www.wikidata.org/entity/Q662422,Universidad Central de Chile,11300,,
http://www.wikidata.org/entity/Q666128,Индианский государственный университет,7311,,
http://www.wikidata.org/entity/Q666128,Индианский государственный университет,10534,,
http://www.wikidata.org/entity/Q667748,Daniel Alcides Carrión National University,7416,,
http://www.wikidata.org/entity/Q667972,Международный институт управленческого развития,8900,,
http://www.wikidata.org/entity/Q670649,Иркутский государственный университет,18000,,
http://www.wikidata.org/entity/Q670897,Университет штата Аризона,42844,,
http://www.wikidata.org/entity/Q670897,Университет штата Аризона,135729,,
http://www.wikidata.org/entity/Q673111,Arkansas Tech University,10829,,
http://www.wikidata.org/entity/Q673308,Университет Люцерна,2944,,
http://www.wikidata.org/entity/Q674568,Горный университет Леобена,4032,,
http://www.wikidata.org/entity/Q676817,Университет Камерино,10000,,
http://www.wikidata.org/entity/Q677993,Университет Южной Африки,420000,,
http://www.wikidata.org/entity/Q679974,China University of Technology,5601,,
http://www.wikidata.org/entity/Q685781,Hiroshima City University,2058,,
http://www.wikidata.org/entity/Q686772,Инсбрукский медицинский университет,3607,,
http://www.wikidata.org/entity/Q689617,Университет Лугано,2862,,
http://www.wikidata.org/entity/Q690639,Альпийско-адриатический университет Клагенфурта,12721,,
http://www.wikidata.org/entity/Q691097,German University in Cairo,13000,,
http://www.wikidata.org/entity/Q691686,Женевский институт международных отношений,1141,,
http://www.wikidata.org/entity/Q693674,Университет Бентли,5177,,
http://www.wikidata.org/entity/Q697367,National University of Kaohsiung,5323,,
http://www.wikidata.org/entity/Q699543,National Taiwan University of Science and Technology,10812,,
http://www.wikidata.org/entity/Q700801,Kaohsiung Medical University,6288,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,9,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,146,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,366,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,1977,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,1986,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,2005,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,2865,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,3461,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,3722,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,3844,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,3953,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,4072,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,4538,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,4676,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,5052,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,5475,,
http://www.wikidata.org/entity/Q702524,Эрфуртский университет,5483,,
http://www.wikidata.org/entity/Q2031813,Vasile Goldiș West University,4500,,
http://www.wikidata.org/entity/Q1857773,Университет Центрального Ланкашира,28850,,
http://www.wikidata.org/entity/Q1861974,University of Cumbria,12410,,
http://www.wikidata.org/entity/Q1872239,Луизианский технический университет,11126,,
http://www.wikidata.org/entity/Q1887879,Университет Сан-Франциско,10068,,
http://www.wikidata.org/entity/Q1889100,Университет Финикса,101150,,
http://www.wikidata.org/entity/Q1932075,Midwestern State University of Texas,5860,,
http://www.wikidata.org/entity/Q1932075,Midwestern State University of Texas,7283,,
http://www.wikidata.org/entity/Q1938341,Уральский государственный технический университет,40300,,
http://www.wikidata.org/entity/Q1939221,Западный университет штата Миссури,4911,,
http://www.wikidata.org/entity/Q1940803,Средне-Шведский университет,12306,,
http://www.wikidata.org/entity/Q1946114,Middlebury Institute of International Studies at Monterey,686,,
http://www.wikidata.org/entity/Q1949773,Seton Hill University,1935,,
http://www.wikidata.org/entity/Q1960862,Восточноукраинский национальный университет,12000,,
http://www.wikidata.org/entity/Q1962291,Ереванский лингвистический университет,2908,,
http://www.wikidata.org/entity/Q1964642,Кыргызский национальный университет имени Жусупа Баласагына,22000,,
http://www.wikidata.org/entity/Q1969692,Гомельский государственный медицинский университет,3930,,
http://www.wikidata.org/entity/Q1972050,Йоханнесбургский университет,49910,,
http://www.wikidata.org/entity/Q1972721,Лулеоский технологический университет,19155,,
http://www.wikidata.org/entity/Q1973888,Западночешский университет в Пльзене,11172,,
http://www.wikidata.org/entity/Q1975956,Белорусская государственная академия искусств,1353,,
http://www.wikidata.org/entity/Q1980701,Харьковский национальный университет радиоэлектроники,8802,,
http://www.wikidata.org/entity/Q1987511,Севастопольский государственный университет,12000,,
http://www.wikidata.org/entity/Q1998811,Северо-западный университет (ЮАР),72994,,
http://www.wikidata.org/entity/Q2001231,Northwestern State University,11447,,
http://www.wikidata.org/entity/Q2000943,Северо-восточный университет Иллинойса,12227,,
http://www.wikidata.org/entity/Q2002619,Университет Ноттингем Трент,40000,,
http://www.wikidata.org/entity/Q2002420,Университет Эребру,11638,,
http://www.wikidata.org/entity/Q2004114,Российский экономический университет имени Г. В. Плеханова,16401,,
http://www.wikidata.org/entity/Q2005511,Университет Форт-Хэр,11074,,
http://www.wikidata.org/entity/Q2027201,Белорусский государственный педагогический университет,15500,,
http://www.wikidata.org/entity/Q2030894,Медицинский колледж имени Альберта Эйнштейна,1048,,
http://www.wikidata.org/entity/Q2038878,Папский Боливариансий университет,26000,,
http://www.wikidata.org/entity/Q2058345,Национальный лесотехнический университет Украины,7000,,
http://www.wikidata.org/entity/Q2065695,Солентский университет,11340,,
http://www.wikidata.org/entity/Q2082826,Ереванский государственный медицинский университет имени Мхитара Гераци,8000,,
http://www.wikidata.org/entity/Q1888661,Университет Южного Орегона,5140,,
http://www.wikidata.org/entity/Q2564975,Western Colorado University,3203,,
http://www.wikidata.org/entity/Q2563807,Грозненский государственный нефтяной технический университет имени академика М. Д. Миллионщикова,6500,,
http://www.wikidata.org/entity/Q2566683,Wheeling University,1619,,
http://www.wikidata.org/entity/Q2587376,Fresno Pacific University,3995,,
http://www.wikidata.org/entity/Q2587890,Palo Alto University,1163,,
http://www.wikidata.org/entity/Q2590529,University of Wisconsin–Stout,7970,,
http://www.wikidata.org/entity/Q2590739,University of Wisconsin–Parkside,4452,,
http://www.wikidata.org/entity/Q2592553,I-shou University,11707,,
http://www.wikidata.org/entity/Q2601879,Ирландский национальный университет в Мейнуте,12100,,
http://www.wikidata.org/entity/Q2617399,Таджикский государственный педагогический университет им. С.Айни,18000,,
http://www.wikidata.org/entity/Q2628140,Белорусский государственный экономический университет,13000,,
http://www.wikidata.org/entity/Q2638914,Брестский государственный университет имени А. С. Пушкина,5000,,
http://www.wikidata.org/entity/Q2650619,Тараклийский государственный университет,281,,
http://www.wikidata.org/entity/Q2669434,Российско-таджикский (славянский) университет,5880,,
http://www.wikidata.org/entity/Q2687532,University of Wisconsin–River Falls,5855,,
http://www.wikidata.org/entity/Q2687782,University of Wisconsin–Stevens Point,8302,,
http://www.wikidata.org/entity/Q2698482,Кальвин-колледж,3307,,
http://www.wikidata.org/entity/Q2706876,Чувашский государственный университет имени И. Н. Ульянова,16100,,
http://www.wikidata.org/entity/Q2723670,Университет Айн Шамс,220000,,
http://www.wikidata.org/entity/Q2782346,Санкт-Петербургский государственный лесотехнический университет,9350,,
http://www.wikidata.org/entity/Q2783344,Назарбаев Университет,7089,,
http://www.wikidata.org/entity/Q2822225,Университет Академии Искусств,8928,,
http://www.wikidata.org/entity/Q2620177,Колледж Святого Креста,2970,,
http://www.wikidata.org/entity/Q2620177,Колледж Святого Креста,3138,,
http://www.wikidata.org/entity/Q2564313,Чеченский государственный университет им. А.А. Кадырова,19022,,
http://www.wikidata.org/entity/Q2894666,Bellarmine University,2794,,
http://www.wikidata.org/entity/Q2894666,Bellarmine University,3293,,
http://www.wikidata.org/entity/Q2323376,Университет Святого Фомы,4140,,
http://www.wikidata.org/entity/Q2323376,Университет Святого Фомы,3713,,
http://www.wikidata.org/entity/Q2324449,Медицинский университет Семей,3685,,
http://www.wikidata.org/entity/Q2324420,Государственный университет Ильи,16601,,
http://www.wikidata.org/entity/Q2341039,Стетсонский университет,4429,,
http://www.wikidata.org/entity/Q2344683,Университет Стивена Остина,12620,,
http://www.wikidata.org/entity/Q2354119,Уральский государственный экономический университет,17200,,
http://www.wikidata.org/entity/Q2083886,Худжандский государственный университет,10500,,
http://www.wikidata.org/entity/Q2084549,Азербайджанский государственный аграрный университет,5524,,
http://www.wikidata.org/entity/Q2092392,University of Dayton,11650,,
http://www.wikidata.org/entity/Q2092392,University of Dayton,11246,,
http://www.wikidata.org/entity/Q2096138,Национальный университет Аль-Наджах,23200,,
http://www.wikidata.org/entity/Q2111097,UMIT Tirol - Private University for Health Sciences and Health Technology,1814,,
http://www.wikidata.org/entity/Q2118519,Aichi University of Education,3844,,
http://www.wikidata.org/entity/Q2119752,Урбинский университет,22000,,
http://www.wikidata.org/entity/Q2120270,Северо-западный педагогический университет,35900,,
http://www.wikidata.org/entity/Q2124886,Рузвельтский университет,4680,,
http://www.wikidata.org/entity/Q2150914,University of Hawaiʻi at Hilo,3165,,
